PLAYER,TEAM,POSITION,AGE,MP,FG,FGA,FGperc,3P,3PA,3Pperc,2P,2PA,2Pperc,FT,FTA,FTperc,ORB,AST,POINTS,SALARYMILL,FAVORITES
Patty Mills,SA,PG,28,21.9,3.4,7.8,0.44,1.8,4.4,0.41,1.6,3.3,0.47,0.8,1,0.83,0.3,3.5,9.5,3.58,112
Julius Randle,LAL,PF,22,28.8,5.1,10.4,0.49,0.2,0.9,0.27,4.9,9.6,0.51,2.8,3.8,0.72,2,3.6,13.2,3.27,102
Frank Kaminsky,CHA,C,23,26.1,4.3,10.7,0.4,1.5,4.7,0.33,2.7,6,0.46,1.6,2.1,0.76,0.8,2.2,11.7,2.73,112.5
Cory Joseph,TOR,PG,25,25,3.7,8.3,0.45,0.6,1.7,0.36,3.1,6.6,0.48,1.2,1.5,0.77,0.6,3.3,9.3,7.32,48.5
Dion Waiters,MIA,SG,25,30.1,6.1,14.4,0.42,1.8,4.7,0.4,4.3,9.7,0.44,1.8,2.8,0.65,0.4,4.3,15.8,2.9,0
Boris Diaw,UTAH,PF,34,17.6,2,4.5,0.45,0.3,1.1,0.25,1.7,3.4,0.51,0.4,0.5,0.74,0.6,2.3,4.6,7,136.5
Dante Exum,UTAH,PG,21,18.6,2.3,5.5,0.43,0.7,2.3,0.3,1.7,3.2,0.52,0.9,1.1,0.8,0.5,1.7,6.2,3.94,48.5
Tyus Jones,MIN,PG,20,12.9,1.3,3,0.41,0.4,1.2,0.36,0.8,1.8,0.45,0.6,0.7,0.77,0.2,2.6,3.5,1.47,0
Kelly Olynyk,BOS,C,25,20.5,3.5,6.8,0.51,0.9,2.6,0.35,2.6,4.2,0.61,1.2,1.6,0.73,1,2,9,3.09,56.5
Willie Cauley-Stein,SAC,C,23,18.9,3.4,6.4,0.53,0,0,0,3.4,6.4,0.53,1.3,2,0.67,1.1,1.1,8.1,3.55,0
Nik Stauskas,PHI,SG,23,27.4,3.1,7.9,0.4,1.7,4.5,0.37,1.5,3.4,0.43,1.5,1.9,0.81,0.3,2.4,9.5,2.99,28
Terrence Ross,ORL/TOR,SF,25,25.1,4.2,9.6,0.44,1.8,5,0.36,2.4,4.6,0.52,0.8,1,0.83,0.2,1.1,11,10,0
Channing Frye,CLE,C,33,18.9,3.2,7,0.46,1.9,4.5,0.41,1.4,2.5,0.55,0.9,1,0.85,0.5,0.6,9.1,7.81,8
Jaylen Brown,BOS,SF,20,17.2,2.5,5.4,0.45,0.6,1.7,0.34,1.9,3.7,0.51,1.1,1.6,0.69,0.6,0.8,6.6,4.74,0
Jae Crowder,BOS,SF,26,32.4,4.6,10,0.46,2.2,5.5,0.4,2.4,4.5,0.54,2.4,3,0.81,0.7,2.2,13.9,6.29,55
Paul Millsap,ATL,PF,31,34,6.2,14.1,0.44,1.1,3.5,0.31,5.1,10.6,0.49,4.5,5.9,0.77,1.6,3.7,18.1,20.07,60
Eric Bledsoe,PHX,PG,27,33,6.8,15.7,0.43,1.6,4.7,0.34,5.2,11,0.48,5.9,6.9,0.85,0.8,6.3,21.1,14,9
Trey Burke,WSH,PG,24,12.3,2,4.5,0.46,0.5,1.2,0.44,1.5,3.2,0.46,0.4,0.5,0.76,0.1,1.8,5,3.39,41
Trevor Ariza,HOU,SF,31,34.7,4.1,10,0.41,2.4,6.9,0.34,1.7,3,0.56,1.2,1.6,0.74,0.7,2.2,11.7,7.81,10
Luis Scola,BKN,PF,36,12.8,2,4.2,0.47,0.5,1.4,0.34,1.5,2.8,0.54,0.7,1,0.68,1.4,1,5.1,5.5,16
Bradley Beal,WSH,SG,23,34.9,8.3,17.2,0.48,2.9,7.2,0.4,5.4,10,0.54,3.7,4.4,0.83,0.7,3.5,23.1,22.12,55.5
Brandon Rush,MIN,SG,31,21.9,1.5,4,0.37,0.9,2.4,0.39,0.6,1.6,0.36,0.3,0.4,0.72,0.3,1,4.2,3.5,14
Jamal Murray,DEN,SG,19,21.5,3.6,8.9,0.4,1.4,4.2,0.33,2.2,4.7,0.47,1.3,1.5,0.88,0.5,2.1,9.9,3.21,0
Denzel Valentine,CHI,SG,23,17.1,1.8,5.1,0.35,1.3,3.6,0.35,0.5,1.4,0.36,0.2,0.3,0.78,0.2,1.1,5.1,2.09,23
Udonis Haslem,MIA,C,36,8.1,0.7,1.4,0.48,0,0.2,0,0.7,1.3,0.55,0.6,0.9,0.6,0.5,0.4,1.9,4,28.5
Marcus Smart,BOS,SG,22,30.4,3.4,9.5,0.36,1.2,4.2,0.28,2.2,5.3,0.42,2.6,3.2,0.81,1,4.6,10.6,3.58,1
Mario Hezonja,ORL,SF,21,14.8,1.8,5.1,0.36,0.7,2.2,0.3,1.1,2.9,0.4,0.6,0.8,0.8,0.3,1,4.9,3.91,272
Cody Zeller,CHA,PF,24,27.8,4.1,7.1,0.57,0,0,0,4.1,7.1,0.57,2.1,3.2,0.68,2.2,1.6,10.3,5.32,90
Kenneth Faried,DEN,PF,27,21.2,3.7,6.8,0.55,0,0.1,0,3.7,6.7,0.56,2.1,3.1,0.69,3,0.9,9.6,12.08,14
Nicolas Batum,CHA,SG,28,34,5.1,12.7,0.4,1.8,5.3,0.33,3.4,7.4,0.45,3.2,3.7,0.86,0.6,5.9,15.1,20.87,114.5
Jerian Grant,CHI,PG,24,16.3,2,4.8,0.43,0.8,2.1,0.37,1.3,2.7,0.47,1,1.2,0.89,0.3,1.9,5.9,1.64,25
Jameer Nelson,DEN,PG,34,27.3,3.6,8.1,0.44,1.4,3.6,0.39,2.2,4.4,0.49,0.6,0.8,0.71,0.4,5.1,9.2,4.54,0
Rudy Gobert,UTAH,C,24,33.9,5.1,7.7,0.66,0,0,0,5.1,7.7,0.66,3.8,5.9,0.65,3.9,1.2,14,2.12,731
Jared Sullinger,TOR,PF,24,10.7,1.4,4.3,0.32,0.3,1.6,0.17,1.1,2.6,0.41,0.4,0.7,0.5,0.9,0.3,3.4,5.63,11
DeMarre Carroll,TOR,SF,30,26.1,3.1,7.6,0.4,1.5,4.4,0.34,1.5,3.2,0.48,1.2,1.6,0.76,0.9,1,8.9,14.2,29.5
Kyle Singler,OKC,SF,28,12,1.1,2.6,0.41,0.2,1.2,0.19,0.8,1.4,0.59,0.4,0.5,0.77,0.3,0.3,2.8,4.84,9
Danilo Gallinari,DEN,SF,28,33.9,5.3,11.9,0.45,2,5.1,0.39,3.3,6.8,0.49,5.5,6.1,0.9,0.6,2.1,18.2,15.05,29
Eric Gordon,HOU,SG,28,31,5.5,13.5,0.41,3.3,8.8,0.37,2.2,4.7,0.47,2,2.3,0.84,0.4,2.5,16.2,12.39,55
Courtney Lee,NY,SG,31,31.9,4.2,9.1,0.46,1.4,3.5,0.4,2.8,5.6,0.49,1.1,1.3,0.87,0.7,2.3,10.8,11.24,2
